tournament_id,match_id,created_at,map_name,duration,team_rank,team_name,player_id,player_name,time_survived,death_type,kill_place,kills,dbnos,assists,damage_dealt,headshot_kills,longest_kill,road_kills,vehicle_destroys,weapons_acquired,boosts,heals,revives,ride_distance,swim_distance,walk_distance
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,16,SGA,SGA_B4nnba,B4NNBA,244.755,byplayer,84,0,1,0,66.79,0,0.0,0,0,2,0,0,1,0.0,0.0,189.83363
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,5,AFK,AFK_APXB,APXB,988.608,byplayer,20,1,2,1,148.77348,0,151.11081,0,0,2,4,9,0,3369.14,16.167324,5964.8706
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,5,AFK,AFK_Jaelong,JAELONG,814.769,byzone,59,0,0,0,0.0,0,0.0,0,0,4,5,7,0,6634.0684,16.441727,1613.8353
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,5,AFK,AFK_Asag2,ASAG2,1004.771,byplayer,58,0,1,1,23.34,0,0.0,0,0,2,5,7,0,6476.377,27.785774,2274.947
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,11,FPC,FPC_miha,MIHA,789.824,byplayer,71,0,1,0,112.877,0,0.0,0,0,4,1,0,0,0.0,0.0,2010.7963
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,11,FPC,FPC_Cross,CROSS,836.865,byplayer,69,0,0,1,188.97386,0,0.0,0,0,3,1,1,0,0.0,0.0,2641.9512
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,11,FPC,FPC_Americano,AMERICANO,832.329,byzone,26,1,1,0,17.772045,0,81.257126,0,0,3,1,1,0,509.34915,0.0,2064.7607
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,11,FPC,FPC_YAYAVA,YAYAVA,802.565,byplayer,70,0,0,0,0.0,0,0.0,0,0,5,0,1,0,484.2289,0.0,2210.6545
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,8,EZ,EZ_GGangsu,GGANGSU,915.17,byplayer,2,5,4,2,390.84314,3,117.02535,0,0,5,2,0,0,0.0027631095,6.5553756,4621.6445
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,8,EZ,EZ_Donghyun,DONGHYUN,925.875,byplayer,16,2,1,3,162.8,1,66.15136,0,0,2,1,1,0,1309.7083,18.861313,3221.3508
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,8,EZ,EZ_GHIPYO,GHIPYO,1021.384,byplayer,63,0,0,1,248.79593,0,0.0,0,0,4,3,2,1,470.59784,17.947905,4482.12
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,8,EZ,EZ_MinGyu,MINGYU,880.836,byplayer,6,3,3,3,370.14676,0,78.42471,0,0,3,1,1,0,1542.2406,16.226269,3029.077
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,14,RSG,RSG_Chan,CHAN,563.694,byplayer,79,0,0,1,24.6,0,0.0,0,0,3,0,0,0,0.0,0.0,779.8921
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,14,RSG,RSG_RK,RK,620.447,byplayer,78,0,0,0,43.3575,0,0.0,0,0,3,2,0,0,0.0,0.0,810.2512
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,14,RSG,RSG_hugh2i,HUGH2I,668.678,byplayer,29,1,1,0,78.4,0,18.956799,0,0,2,2,1,0,0.0,0.0,879.4012
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,14,RSG,RSG_UniQue,UNIQUE,680.136,byplayer,77,0,0,0,98.759766,0,0.0,0,0,7,1,2,0,0.0,0.0,976.60565
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,9,Nyx,Nyx_Wondeok,WONDEOK,872.757,byplayer,65,0,0,0,24.653648,0,0.0,0,0,3,0,0,0,0.0,0.0,3294.9075
as-pcs1kr,744aae4b-b408-4a44-9e6a-ee44a9117340,2020-05-18T02:32:37Z,Sanhok,1361,9,Nyx,Nyx_Suman,SUMAN,917.568,byplayer,64,0,0,2,60.41208,0,0.0,0,0,3,0,1,1,0.0,0.0,3629.1885
