tournament_id,match_id,created_at,map_name,duration,team_rank,team_name,player_id,player_name,time_survived,death_type,kill_place,kills,dbnos,assists,damage_dealt,headshot_kills,longest_kill,road_kills,vehicle_destroys,weapons_acquired,boosts,heals,revives,ride_distance,swim_distance,walk_distance
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,7,TSD,TSD_Nosework,NOSEWORK,1374.88,byplayer,19,1,1,0,106.575424,0,5.0369415,0,0,5,6,12,0,4807.6157,328.88513,2452.9954
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,16,PG,PG_HamiN,HAMIN,990.127,byplayer,61,0,0,0,22.77,0,0.0,0,0,5,5,10,0,5269.312,8.049992,2521.7844
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,16,PG,PG_EquaL,EQUAL,975.473,byplayer,62,0,0,0,0.0,0,0.0,0,0,4,4,5,0,8399.86,5.9381046,1027.9706
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,16,PG,PG_Cliff,CLIFF,960.598,byplayer,63,0,1,0,71.0,0,0.0,0,0,4,7,5,0,7229.0073,5.7230945,1618.9569
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,3,CM,CM_MinuDa,MINUDA,1565.256,byplayer,5,4,3,0,561.06793,2,270.69223,0,1,5,9,8,0,7189.6094,0.0,677.32
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,3,CM,CM_Feelet,FEELET,866.127,byplayer,32,0,0,0,0.0,0,0.0,0,0,6,4,11,0,5985.17,0.0,854.3872
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,3,CM,CM_PPAKTONG,PPAKTONG,1583.847,byplayer,30,0,1,0,235.37292,0,0.0,0,0,5,7,12,0,5772.0015,0.0,1039.707
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,3,CM,CM_CieL,CIEL,915.927,byplayer,31,0,0,0,0.0,0,0.0,0,0,5,5,13,0,6393.5337,0.0,525.92926
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,8,HMS,HMS_KUMA,KUMA,1349.27,byplayer,38,0,2,1,408.08975,0,0.0,0,0,3,3,3,0,3613.9482,7.198236,1214.5802
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,8,HMS,HMS_Taebin,TAEBIN,1016.046,byplayer,40,0,0,0,95.59475,0,0.0,0,0,4,2,5,0,1022.3061,9.636793,2842.4038
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,8,HMS,HMS_TIZY,TIZY,1345.028,byplayer,39,0,1,0,230.5211,0,0.0,0,0,7,2,16,1,2788.3132,12.623545,1312.0785
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,8,HMS,HMS_ENUJ,ENUJ,536.349,byplayer,41,0,0,0,0.0,0,0.0,0,0,3,2,1,0,2015.7584,9.639601,1140.7749
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,1,OPGG,OPGG_Silky,SILKY,1634.524,alive,3,5,4,3,566.96716,0,115.547844,1,2,4,3,0,0,1956.6453,5.48419,2812.7966
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,1,OPGG,OPGG_Alphaca,ALPHACA,882.727,byplayer,26,0,0,0,0.0,0,0.0,0,0,6,2,1,0,1307.9832,4.5476,2432.4185
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,16,PG,PG_LexGod,LEXGOD,651.266,byplayer,64,0,0,0,0.0,0,0.0,0,0,4,3,0,0,1732.9678,0.0,1473.9443
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,1,OPGG,OPGG_Dumbo,DUMBO,1634.524,alive,2,6,3,3,709.08136,1,187.44739,0,0,5,5,12,1,3244.6477,5.2736855,2173.3796
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,15,PGA,PGA_2mae,2MAE,1049.878,byplayer,58,0,0,0,0.0,0,0.0,0,0,4,4,21,0,1535.5964,9.932718,9324.177
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,15,PGA,PGA_AKA,AKA,1049.866,byplayer,59,0,0,0,113.76098,0,0.0,0,0,3,3,9,0,9454.379,4.066182,804.7385
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,15,PGA,PGA_Charsiu,CHARSIU,1040.894,byplayer,24,1,2,0,181.15701,0,23.44337,0,0,3,8,9,0,7148.111,5.2440605,4084.968
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,15,PGA,PGA_Heemin,HEEMIN,1049.855,byplayer,60,0,0,0,36.54,0,0.0,0,0,3,4,14,1,5893.194,7.7692614,5029.57
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,13,UST,UST_ReKnaR,REKNAR,1047.479,byplayer,22,1,0,1,95.44,1,25.832294,0,0,3,3,4,0,4215.5576,0.0,1053.185
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,13,UST,UST_Intexx,INTEXX,1044.254,byplayer,14,2,1,0,98.44392,1,12.331879,0,0,5,2,4,1,2447.9055,0.0,1912.9419
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,13,UST,UST_Doris,DORIS,1221.764,byplayer,21,1,1,0,78.0,0,75.72841,0,0,5,3,6,0,2335.9346,0.0,2152.5454
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,13,UST,UST_uxxxn,UXXXN,1221.754,byplayer,55,0,0,0,82.75,0,0.0,0,0,6,2,1,0,5734.506,0.0,1065.2009
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,9,AF,AF_Hansia,HANSIA,1341.305,byplayer,8,3,3,2,471.011,2,142.48422,0,0,5,4,3,0,3178.2144,0.0,1590.8715
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,9,AF,AF_Shadow,SHADOW,1158.014,byplayer,43,0,2,3,447.67978,0,0.0,0,0,7,3,2,0,4757.8096,0.0,723.0514
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,9,AF,AF_EJ,EJ,1180.635,byplayer,9,3,3,1,343.62097,0,10.130226,0,0,6,2,0,0,5394.181,0.0,591.7031
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,9,AF,AF_R0wha,R0WHA,1160.828,byplayer,42,0,0,2,108.16273,0,0.0,0,0,6,3,8,1,4157.4756,0.0,739.9258
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,7,TSD,TSD_UniQue,UNIQUE,1380.659,byplayer,18,1,0,2,42.13961,0,30.228045,0,0,3,6,18,0,5854.098,256.82306,2629.9226
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,1,OPGG,OPGG_Ayoh,AYOH,1634.524,alive,1,8,7,4,752.37695,1,348.9071,0,1,3,7,8,1,1164.1943,7.1486993,3644.8474
as-pcs2kr,5ae42186-0fcf-4962-a3fc-240cd95f7e48,2020-07-23T09:02:37Z,Erangel (Remastered),1634,7,TSD,TSD_HeaDLinE,HEADLINE,740.578,byplayer,37,0,0,0,0.0,0,0.0,0,0,2,3,2,0,6109.2637,203.60059,598.88727
