match_id,first_timestamp,last_timestamp,location_x,location_y,location_z,player_id,team_name,player_name,weapon_name,weapon_drop,real_attack_count,HeadShot,ArmShot,TorsoShot,PelvisShot,damage,HeadShot_damage,ArmShot_damage,TorsoShot_damage,PelvisShot_damage,total_groggy,groggy,HeadShot_groggy,ArmShot_groggy,TorsoShot_groggy,PelvisShot_groggy,avg_groggy_distance,total_kills,kills,HeadShot_kill,ArmShot_kill,TorsoShot_kill,PelvisShot_kill,avg_kill_distance
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:21.951Z,2020-01-16T07:10:55.940Z,343373.6875,218480.09375,8009.31005859375,EM_Makne,EM,MAKNE,VSS,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:22.529Z,2020-01-16T07:32:14.710Z,366684.78125,309128.5625,7520.2197265625,MCL_Cross,MCL,CROSS,AK47,False,2.0,0.0,1.0,1.0,0.0,26.78999900817871,0.0,0.0,26.78999900817871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5976.1007080078125
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:22.606Z,2020-01-16T07:13:31.808Z,558911.875,293386.40625,12585.439453125,VLG_DAEVA,VLG,DAEVA,SKS,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:22.850Z,2020-01-16T07:32:54.666Z,534671.8125,50148.9296875,7487.3896484375,ENT_kAyle,ENT,KAYLE,FNFal,False,7.0,3.0,0.0,4.0,0.0,124.56367492675781,124.56367492675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:26.603Z,2020-01-16T07:11:04.029Z,441609.875,240185.234375,3803.43994140625,DNW_Raeng,DNW,RAENG,AK47,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:26.789Z,2020-01-16T07:11:34.715Z,349093.90625,265932.21875,12444.16015625,MCL_N1ke,MCL,N1KE,SCAR-L,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:27.088Z,2020-01-16T07:26:33.466Z,327090.375,356954.46875,13805.669921875,QDR_Dlaks,QDR,DLAKS,HK416,False,6.0,0.0,1.0,5.0,0.0,60.885000228881836,0.0,22.14000129699707,38.744998931884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:27.956Z,2020-01-16T07:10:47.254Z,373998.46875,436767.375,5637.7197265625,OZ_SUNGHAK,OZ,SUNGHAK,SCAR-L,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:29.193Z,2020-01-16T07:12:41.914Z,342465.40625,219439.671875,8005.919921875,EM_Makne,EM,MAKNE,Mini14,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:29.728Z,2020-01-16T07:29:35.639Z,526154.375,372971.625,9739.8896484375,DWG_MYway,DWG,MYWAY,HK416,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:29.972Z,2020-01-16T07:10:50.395Z,317434.21875,341765.3125,14496.25,QDR_yacha,QDR,YACHA,M16A4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:30.023Z,2020-01-16T07:21:45.677Z,331146.4375,467601.65625,6854.33984375,AW_Black9,AW,BLACK9,Mini14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:31.886Z,2020-01-16T07:11:10.864Z,285512.75,483345.625,9553.41015625,AW_Piky,AW,PIKY,M16A4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:32.221Z,2020-01-16T07:12:02.317Z,393998.90625,125445.7734375,5100.22998046875,EM_k1nch,EM,K1NCH,M16A4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:32.333Z,2020-01-16T07:26:32.278Z,371451.5,371012.71875,12702.1494140625,QDR_Renba,QDR,RENBA,Mini14,False,8.0,1.0,2.0,4.0,1.0,100.0,16.20893096923828,25.236169815063477,58.55489921569824,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8168.1748046875,1.0,1.0,0.0,0.0,0.0,1.0,8168.1748046875
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:34.922Z,2020-01-16T07:29:53.336Z,561476.0,386118.21875,6415.759765625,DWG_Style,DWG,STYLE,Mini14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:35.593Z,2020-01-16T07:11:15.263Z,561489.1875,386113.4375,6415.759765625,DWG_Style,DWG,STYLE,AK47,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:36.297Z,2020-01-16T07:29:29.112Z,485087.4375,353129.5,11539.5595703125,DWG_CRIS,DWG,CRIS,AK47,False,2.0,0.0,0.0,2.0,0.0,41.24249839782715,0.0,0.0,41.24249839782715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:36.462Z,2020-01-16T07:39:14.083Z,348360.03125,266009.15625,12172.1494140625,MCL_N1ke,MCL,N1KE,Mini14,False,2.0,0.0,0.0,1.0,1.0,47.45928382873535,0.0,0.0,20.436830520629883,27.02245330810547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:37.216Z,2020-01-16T07:39:14.083Z,374284.34375,294288.46875,8206.1494140625,MCL_Corn,MCL,CORN,HK416,False,7.0,1.0,1.0,4.0,1.0,178.6700038909912,67.21289825439453,5.8233795166015625,81.03372573852539,24.600000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,3440.9051106770835
507cc3e1-55af-4f0d-bf5c-2c6c6e10dc67,2020-01-16T07:10:37.660Z,2020-01-16T07:10:45.382Z,332807.65625,468418.0625,6854.33984375,AW_Black9,AW,BLACK9,SCAR-L,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
